,,,,,,,TIME CHARACTERISATION (IN SEC),,,,,,ERROR CHARACTERISATION,,,,,,,,,,,,,,,,,,,,,,,,,,GROUND_TRUTH,MODEL DIAGRAM,
S13,Heterogeneous_Machine_Grid,"A linear sequence of 3 machines each with a delay of 4,3,2 connected with a sink and a source. 4 such sequences are in parallel. There is a connection between the M1 in r1 and M1 in row2 and a connection between M3 in row2 and M3 in row4","A production line begins with a Source named SRC generating items every 2.5 seconds.  Every sequence of SRC is followed by a buffer ID=B_src_1.Then a line consists of 3 sequential stages. Each stage Stage_i Stage_1 through Stage_3 is modeled as a subsystem containing a Machine, followed by a Buffer. Machine in each stage has a processing delay of 4.0,3 and2  seconds  with capacity 2,3,4 respectively. The output of Stage_3 is connected to a Sink named SINK. There are 4 such sequences in parallel. Name machines in stage_i as Stage_i as Stage_i_M1,, and Buffers as Stage_i_B1,for i from 1 to 3. .. All machines have a processing_Delay of 2 and buffers have a capacity of 2. There is a connection between the M1 in r1 and M1 in row2 and a connection between M3 in row2 and M3 in row4. Name cross conecting buffer as Cross_Buffer_1, Cross_Buffer_2, etc.Row index starts from 1","#Nodes=20
#Edges=18
#Parameters=46",,24.22,59.37,115.258,,43.04,109.52,,"Identified structure with separate source and sink
incorrect node and edge names
no heirarchy
default parameter are used.

Repeated pattern of (`Stage_i_M1`) followed by one Buffer (`Stage_i_B1`)--followed naming convention correctly unline in S12

Hints given for naming convention---M1,M2,M3 AND 3 MACHINE in series-- named it as M[0],M[1],M[2]","Produced wrong code, factorysimpy. Tried to connect multiple destinations to same edge


Different processing delay values are given for the same machine in description.But, LLM negelected the statement which apears to be generic

",,1,9,12,0,0,0,0,4,0,4,0,0,1,1,0,0,0,4,https://github.com/InferaFactorySim/FactoryFlow/blob/main/docs/error-characterization/generated_models/S13/factory_model_13_Coarse.py,https://github.com/InferaFactorySim/FactoryFlow/blob/main/docs/error-characterization/generated_models/S13/factory_model_13_Coarse_A.py,https://github.com/InferaFactorySim/FactoryFlow/blob/main/docs/error-characterization/generated_models/S13/factory_model_13_Coarse_A_D.py,https://github.com/InferaFactorySim/FactoryFlow/blob/main/docs/error-characterization/generated_models/S13/factory_model_13_Detailed_wrong.py,https://github.com/InferaFactorySim/FactoryFlow/blob/main/docs/error-characterization/generated_models/S13/factory_model_13_Detailed_A.py,https://github.com/InferaFactorySim/FactoryFlow/blob/main/docs/error-characterization/groundtruth_models/S13_GT.py,https://github.com/InferaFactorySim/FactoryFlow/blob/main/docs/error-characterization/Diagrams/S13_GT.png,13
S14,Homogeneous_Machine_Grid_Multiedge,3 machines connected with a sink and a source. 4 such sequences are in parallel. There is a connection between the M1 in r1 and M1 in row2 and a connection between M3 in row2 and M3 in row4. In every row and the 2nd and 3rd machines have 3 buffers in between them,"A production line begins with a Source named Src generating items every 5 seconds. Src connects to first Machine via B_src_1 The line consists of 3 sequential stages. Each stage Stage_1 through Stage_3 is modeled as a subsystem containing a Machine with a processing delay of 4.0 seconds, followed by a Buffer with capacity 2. The output of Stage_3 is connected to a Sink named Sink. There are 4 such sequences in parallel. Name machines in stage_i as Stage_i as Stage_i_M1,, and Buffers as Stage_i_B1,for i from 1 to 3. All machines have a processing_Delay of 2 and buffers have a capacity of 2. There is a connection between the M1 in r1 and M1 in row2 and a connection between M3 in row2 and M3 in row4. In every row and the 2nd and 3rd machines have 3 buffers in between them.Name cross conecting buffer as Cross_Buffer_1, Cross_Buffer_2, etc.Row index starts from 1. And extra buffers in multiedge as B_2_3_1, B_2_3_2","#Nodes=20
#Edges=26
#Parameters=42",,31.334,36.7419,41.5,,164.3;45,174.01;116,279.76,"iteration1
no stages-heirarchy not identified
But, identified a separate src and sink for each sequence.

iteration2
Extra buffers are initialised inside stage 2.
wrong node names. as ""use ID"" is not mentioned explicitly

Hints given for naming convention---M1,M2,M3 AND 3 MACHINE in series-- named it as M[0],M[1],M[2]","system had a common sink and common source. 
processing delay of 2 is chosen. as it is written - neglected the generic statement.
",,1,16,16,0,0,0,0,6,0,6,0,0,1,4,0,0,0,0,https://github.com/InferaFactorySim/FactoryFlow/blob/main/docs/error-characterization/generated_models/S14/factory_model_14_Coarse.py,https://github.com/InferaFactorySim/FactoryFlow/blob/main/docs/error-characterization/generated_models/S14/factory_model_14_Coarse_A.py,https://github.com/InferaFactorySim/FactoryFlow/blob/main/docs/error-characterization/generated_models/S14/factory_model_14_Coarse_A_D.py,https://github.com/InferaFactorySim/FactoryFlow/blob/main/docs/error-characterization/generated_models/S14/factory_model_14_Detailed.py,https://github.com/InferaFactorySim/FactoryFlow/blob/main/docs/error-characterization/generated_models/S14/factory_model_14_Detailed_A.py,https://github.com/InferaFactorySim/FactoryFlow/blob/main/docs/error-characterization/groundtruth_models/S14_GT.py,https://github.com/InferaFactorySim/FactoryFlow/blob/main/docs/error-characterization/Diagrams/S14_GT.png,14
S15,Heterogeneous_Machine_Grid_Multiedge,"3 machines each with a delay of 4,3,2 connected with a sink and a source. 4 such sequences are in parallel. There is a connection between the M1 in r1 and M1 in row2 and a connection between M3 in row2 and M3 in row4.In every row and the 2nd and 3rd machines have 3 buffers in between them","A production line begins with a Source named SRC generating items every 2.5 seconds.  Every sequence of SRC is followed by a buffer ID=B_src_1.Then a line consists of 3 sequential stages. Each stage Stage_i Stage_1 through Stage_3 is modeled as a subsystem containing a Machine, followed by a Buffer. Machine in each stage has a processing delay of 4.0,3 and2  seconds  with capacity 2,3,4 respectively. The output of Stage_3 is connected to a Sink named SINK. There are 4 such sequences in parallel. Name machines in stage_i as Stage_i as Stage_i_M1,, and Buffers as Stage_i_B1,for i from 1 to 3. .. All machines have a processing_Delay of 2 and buffers have a capacity of 2. There is a connection between the M1 in r1 and M1 in row2 and a connection between M3 in row2 and M3 in row4. Name cross conecting buffer as Cross_Buffer_1, Cross_Buffer_2, etc.Row index starts from 1There is a connection between the M1 in r1 and M1 in row2 and a connection between M3 in row2 and M3 in row4.In every row and the 2nd and 3rd machines have 3 buffers in between them.And extra buffers in multiedge as B_2_3_1, B_2_3_2","#Nodes=20
#Edges=26
#Parameters=54",,28.58,50.9,100.8187,,45.08,114.14,92.63,"common sink and src inferred , no hierarchy,  default parameters are used, incorrect node and edge names. 

Buffer is wrong stage

Hints given for naming convention---M1,M2,M3 AND 3 MACHINE in series-- named it as M[0],M[1],M[2]","A buffer is used to connect between a machine and a extra buffer.
common sink is wrongly inferred.",,14,15,24,0,0,0,6,7,7,7,0,0,1,1,0,0,0,8,https://github.com/InferaFactorySim/FactoryFlow/blob/main/docs/error-characterization/generated_models/S15/factory_model_15_Coarse.py,https://github.com/InferaFactorySim/FactoryFlow/blob/main/docs/error-characterization/generated_models/S15/factory_model_15_Coarse_A.py,https://github.com/InferaFactorySim/FactoryFlow/blob/main/docs/error-characterization/generated_models/S15/factory_model_15_Coarse_A_D.py,https://github.com/InferaFactorySim/FactoryFlow/blob/main/docs/error-characterization/generated_models/S15/factory_model_15_Detailed.py,https://github.com/InferaFactorySim/FactoryFlow/blob/main/docs/error-characterization/generated_models/S15/factory_model_15_Detailed_D.py,https://github.com/InferaFactorySim/FactoryFlow/blob/main/docs/error-characterization/groundtruth_models/S15_GT.py,https://github.com/InferaFactorySim/FactoryFlow/blob/main/docs/error-characterization/Diagrams/S15_GT.png,15
S16,Hierarchical_Repeated_Simple,"A source feeds a production row. Each row consists of a welding cell that processes incoming items and then passes them onward to a sink. Within each welding cell, items are processed by a single machine and temporarily held before exiting the cell.","Source_R1 feeds a logical 'WeldingCell_R1' via a buffer with ID B_src_R1. The cell contains Machine_W1, followed by Buffer_W (cap 5).  The outputs of the cells (from Machine_W1) connects to SINK_R1. There are three such cells in parallel rows R1,R2, R3 that are independent. All machines have a processing_Delay of 2.","#Nodes=9
#Edges=6
#Parameters=9",,29.01,61.105,57.8,,36.27,87.3,75.44,naming errors; multiple iterations to get the correct name,Each row was not a subsystem. Did not infer hierarchy. ,,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,https://github.com/InferaFactorySim/FactoryFlow/blob/main/docs/error-characterization/generated_models/S16/factory_model_16_Coarse.py,https://github.com/InferaFactorySim/FactoryFlow/blob/main/docs/error-characterization/generated_models/S16/factory_model_16_Coarse_A.py,,https://github.com/InferaFactorySim/FactoryFlow/blob/main/docs/error-characterization/generated_models/S16/factory_model_16_Detailed.py,https://github.com/InferaFactorySim/FactoryFlow/blob/main/docs/error-characterization/generated_models/S16/factory_model_16_Detailed_A.py,https://github.com/InferaFactorySim/FactoryFlow/blob/main/docs/error-characterization/groundtruth_models/S16_GT.py,https://github.com/InferaFactorySim/FactoryFlow/blob/main/docs/error-characterization/Diagrams/S16_GT.png,16
S17,Hierarchical_Moderate,A system with two nodes interconnected each with 3 machines in parallel. This is in parallel with another node with 2 machines in parallel. The system has 2 sources but a common_sink,"A node named parallel_mac_3 has 3 machines in parallel. 2 such nodes are interconnected in a series and this is in parallel with a node named parallel_mac_2 which has 2 machines in parallel. The system has 2 sources but a common_sink. Name machine IDs as M1,M2 and buffers IDs as B1, B2,.. in every node. source as Src_1 and Src_2. All machines have a processing_Delay of 2 and buffers have a capacity of 2.  The sources have a interarrival time of 0.5","#Nodes=11
#Edges=13
#Parameters=23",,28.34,55.5,59.37,92.05,35.95,58.013,57.02,"Node and edge naming errors.
Default parameters are used, ","Buffer IDs for buffer in systemmodel node(TOP) is all named as ""edges""",,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://github.com/InferaFactorySim/FactoryFlow/blob/main/docs/error-characterization/generated_models/S17/factory_model_17_Coarse.py,https://github.com/InferaFactorySim/FactoryFlow/blob/main/docs/error-characterization/generated_models/S17/factory_model_17_Coarse_A.py,https://github.com/InferaFactorySim/FactoryFlow/blob/main/docs/error-characterization/generated_models/S17/factory_model_17_Coarse_A_D.py,https://github.com/InferaFactorySim/FactoryFlow/blob/main/docs/error-characterization/generated_models/S17/factory_model_17_Detailed.py,https://github.com/InferaFactorySim/FactoryFlow/blob/main/docs/error-characterization/generated_models/S17/factory_model_17_Detailed_A.py,https://github.com/InferaFactorySim/FactoryFlow/blob/main/docs/error-characterization/groundtruth_models/S17_GT.py,https://github.com/InferaFactorySim/FactoryFlow/blob/main/docs/error-characterization/Diagrams/S17_GT.png,17
S18,Hierarchical_Structure_with_Loops,A system with 2 nodes interconnected. One node has 2 machines in parallel  and the second one has 2 machines in series . The output of the last node is fed to first machine in node1.  The system has a common source,"Version1:
A system with 2 nodes (TypeA and TypeB) interconnected. One node has 2 machines in parallel  and the second one has 2 machines in series . The output of the last node is fed to first machine in node1. the system has a common source. All machines have a processing_Delay of 2 and buffers have a capacity of 2.  The src has a interarrival time of 0.3. Name machine IDs as M1,M2 and buffers IDs as B1, B2,.. in every node.

Version2:
A system with 2 nodes (TypeA and TypeB) interconnected. One node has 2 machines in parallel  and the second one has 2 machines in series . The output of the last in TypeB is fed back to first machine in TypeA. the system has a common source. All machines have a processing_Delay of 2 and buffers have a capacity of 2.  The src has a interarrival time of 0.3. Name machine IDs as M1,M2 and buffers IDs as B1, B2,.. in every node.","#Nodes=6
#Edges=7
#Parameters=12",,38.69,62.93,64.48,,59.37,92.05,65.19,"Node and edge naming errors.
Default parameters are used","Version1:
Output of lastnode is feed to first machne in node1----- infered wrongly- no loop inferred

Version2:(61.14,73.86) 
Inferred that there are two Output from typeB to typeA. ""first machine in typeA""--since in typaA connection is paaralle- both machines are assumed as first machine.",,0,1,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,https://github.com/InferaFactorySim/FactoryFlow/blob/main/docs/error-characterization/generated_models/S18/factory_model_18_Coarse.py,https://github.com/InferaFactorySim/FactoryFlow/blob/main/docs/error-characterization/generated_models/S18/factory_model_18_Coarse_A.py,,https://github.com/InferaFactorySim/FactoryFlow/blob/main/docs/error-characterization/generated_models/S18/factory_model_18_Detailed_V1.py,,https://github.com/InferaFactorySim/FactoryFlow/blob/main/docs/error-characterization/groundtruth_models/S18_GT.py,https://github.com/InferaFactorySim/FactoryFlow/blob/main/docs/error-characterization/Diagrams/S18_GT.png,18
S19,Splitter_joint,A source splits an incoming flow into 3 parallel machines and all three machines ends in a common sink. ,"A source with ID Source(3.3s) feeds a splitter that distributes items to three parallel machines. 
Machine_Alpha has a processing delay of 1.0s. Machine_Beta and Machine_Gamma 
 have processing delays of 10.0 and 20s. All three connect to Sink . All buffers 
 have a capacity of 5. Each machine has its own buffer from the source and to the sink.
 B_src_i connects Source to Machine_i, and B_sink_i connects Machine_i to Sink.","#Nodes=5
#Edges=6
#Parameters=10",,21.08,14.89,45.67,56.975,62.3,75.4,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://github.com/InferaFactorySim/FactoryFlow/blob/main/docs/error-characterization/generated_models/S19/factory_model_19_Coarse.py,https://github.com/InferaFactorySim/FactoryFlow/blob/main/docs/error-characterization/generated_models/S19/factory_model_19_Coarse_A.py,https://github.com/InferaFactorySim/FactoryFlow/blob/main/docs/error-characterization/generated_models/S19/factory_model_19_Coarse_A_D.py,https://github.com/InferaFactorySim/FactoryFlow/blob/main/docs/error-characterization/generated_models/S19/factory_model_19_Detailed.py,https://github.com/InferaFactorySim/FactoryFlow/blob/main/docs/error-characterization/generated_models/S19/factory_model_19_Detailed_A.py,https://github.com/InferaFactorySim/FactoryFlow/blob/main/docs/error-characterization/groundtruth_models/S19_GT.py,https://github.com/InferaFactorySim/FactoryFlow/blob/main/docs/error-characterization/Diagrams/S19_GT.png,19
S20,Star-topology,The flow from a machine splits into 5 sinks,"A source with ID Source(4.32) feeds central Machine_Hub (delay 2.0s) via Buffer with 
ID- B_src_hub. Machine_Hub is connected to 5 separate output Buffers (cap 5), each 
leading to a unique Sink named Sink_North, Sink_South, Sink_East, Sink_West, and Sink_Central.
 All buffers have a capacity of 5. Each machine has its own buffer from the source and to the sink.
 B_src_i connects Source to Machine_i, and B_sink_i connects Machine_hub to Sink_i.","#Nodes=7
#Edges=6
#Parameters=8",,32.9,48.11,55.64,,31.212,47.03,,"Naming error
used default parameters
Correct structured inferred",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://github.com/InferaFactorySim/FactoryFlow/blob/main/docs/error-characterization/generated_models/S20/factory_model_20_Coarse.py,https://github.com/InferaFactorySim/FactoryFlow/blob/main/docs/error-characterization/generated_models/S20/factory_model_20_Coarse_A.py,,https://github.com/InferaFactorySim/FactoryFlow/blob/main/docs/error-characterization/generated_models/S20/factory_model_20_Detailed.py,,https://github.com/InferaFactorySim/FactoryFlow/blob/main/docs/error-characterization/groundtruth_models/S20_GT.py,https://github.com/InferaFactorySim/FactoryFlow/blob/main/docs/error-characterization/Diagrams/S20_GT.png,20
S21,Irregular_Mutliple_Interconnections_1,"There are five linear homogenous serial systems in parallel. First, and fourth series have 5 machines each, 2nd and 5th have 4. 3rd have 3 machine. There is interconnection between row1.M2 to row2.m2  , row3.m3 to row4.m4. row4.m1 to row5.m2. All machines are name as M[i], i is the position. and all buffers as B[i], i is the position","There are five linear homogenous serial systems in parallel. First and fourth series have 5 machines each, 2nd and 5th have 4. 3rd have 3 machine. There is interconnection between row1.M2 to row2.m2  , row3.m3 to row4.m4. row4.m1 to row5.m2. All machines are name as M[i], i is the position. and all buffers as B[i], i is the position. All machines have a processing_Delay of 2 and buffers have a capacity of 2.  The src has a interarrival time of 0.3. All machines with multiple input edges will gave a work_capacity of 2","#Nodes=23
#Edges=27
#Parameters=52",,32.01,71.45,74.72,92.3,64.15,78.59,,"machines are stored in a list with index-0. row3.m3 is actually row2.m2 as indexing is starting from 0.
after changing assumption to use ID=B[i+1]----naming error for buffers. except in the series, all other edges are named as edge[0], edge[1]
after all buffers IDs=B[i+1]--- src_edge[0],.., inter_edge[0], row[0]","naming error for buffers. except in the series, all other edges are named as src_edge[0],.., sink_edge[0], cross_edge[0],  ",,0,0,20,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://github.com/InferaFactorySim/FactoryFlow/blob/main/docs/error-characterization/generated_models/S21/factory_model_21_Coarse.py,https://github.com/InferaFactorySim/FactoryFlow/blob/main/docs/error-characterization/generated_models/S21/factory_model_21_Coarse_A.py,https://github.com/InferaFactorySim/FactoryFlow/blob/main/docs/error-characterization/generated_models/S21/factory_model_21_Coarse_A_D.py,https://github.com/InferaFactorySim/FactoryFlow/blob/main/docs/error-characterization/generated_models/S21/factory_model_21_Detailed.py,,https://github.com/InferaFactorySim/FactoryFlow/blob/main/docs/error-characterization/groundtruth_models/S21_GT.py,https://github.com/InferaFactorySim/FactoryFlow/blob/main/docs/error-characterization/Diagrams/S21_GT.png,21
S22,Irregular_Mutliple_Interconnections_2,"There is a subsystem that has a source connected to 5 machines in series. This structure is repeated 4 times, where they are in parallel, each with its own source. At the end, they are all connected to the common sink. The third machine in second subsystem is also connected to fourth machine in third subsytem and second machine in fourth subsytem with direction of edge pointing away from third machine in second subsystem.","There is a subsystem that has a source connected to 5 machines in series. This structure is repeated 4 times, where they are in parallel, each with its own source. At the end, they are all connected to the common sink. The third machine in second subsystem is also connected to fourth machine in third subsytem and second machine in fourth subsytem with direction of edge pointing away from third machine in second subsystem.All machines are name as M[i], i is the position. and all buffers as B[i], i is the position. All machines have a processing_Delay of 2 and buffers have a capacity of 2.  The src has a interarrival time of 0.3. All machines with multiple input edges will gave a work_capacity of 2","#Nodes=25
#Edges=26
#Parameters=52",,23.69,57.54,58.9,65.8,29.47,66.94,68.57,"naming error for buffers. except in the series, all other edges are named as e[0], e[1].

order in which buffers are not connected  as given as the order in the description.","naming error for buffers. B[i+1] is given for buffers in subsystems. For others outside of subsystems, a different naming is followed-- assigned meaningful IDs when ID info is not given",,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://github.com/InferaFactorySim/FactoryFlow/blob/main/docs/error-characterization/generated_models/S22/factory_model_22_Coarse.py,https://github.com/InferaFactorySim/FactoryFlow/blob/main/docs/error-characterization/generated_models/S22/factory_model_22_Coarse_D.py,https://github.com/InferaFactorySim/FactoryFlow/blob/main/docs/error-characterization/generated_models/S22/factory_model_22_Coarse_A_D.py,https://github.com/InferaFactorySim/FactoryFlow/blob/main/docs/error-characterization/generated_models/S22/factory_model_22_Detailed.py,https://github.com/InferaFactorySim/FactoryFlow/blob/main/docs/error-characterization/generated_models/S22/factory_model_22_Detailed_D.py,https://github.com/InferaFactorySim/FactoryFlow/blob/main/docs/error-characterization/groundtruth_models/S22_GT.py,https://github.com/InferaFactorySim/FactoryFlow/blob/main/docs/error-characterization/Diagrams/S22_GT.png,22
