,,,,,,,TIME CHARACTERISATION (IN SEC),,,,,,ERROR CHARACTERISATION,,,,,,,,,,,,,,,,,,,,,,,,,,GROUND_TRUTH,MODEL DIAGRAM,
S23,Repeated_Sequence_Loop_Routing,"The system consists of three identical linear production units where items pass through an inspection point, with a portion looping back for rework while the majority feeds into a central router. This router partitions the total flow equally into two distinct branches, Path A and Path B, to facilitate parallel downstream processing. Finally, each branch passes through a terminal stage and terminates at its own dedicated exit, designated as Sink 1 and Sink 2.","There is a subsystem as follows. Machine_M1 feeds Machine_M2 via a Buffer (cap 5). After Machine_M2, items enter Buffer_Check and Machine_check. Machine_Check routes 20% of items back to the input of Machine_M1 for rework and 80% forward to next machine The rework loop buffer has a capacity of 1. There are 3 such system.  Similarly there is another sub-system as follows- Mac_M1 acts as a router with a split ratio of 0.5 to Path A and 0.5 to Path B. Path A consists of Buffer_A feeding  Mac_M2. Path B consists of Buffer_B feeding Mac_M3. Mac_M2 and Mac_M3 both connect to individual Sinks, Sink_1 and Sink_2 via Buffer_1 and Buffer_2 respectively. 80% out from  Machine_Check in first type of subsystem enters MacM1 that is in the second type of sub system. . All machines have a processing_Delay of 2 and buffers have a capacity of 2 unless not specified before.  The src has a interarrival time of 0.3. All machines with multiple input edges will gave a work_capacity of 2","#Nodes=12
#Edges=16 
#Parameters=31",,25.27,60.72,28.7,64.4,33.81,99.1,113.91,naming errors. Detailed naming instructions sometimes is not followed(for buffers),"naming error for buffers. except in the series, assigning meaningful IDs when ID info is not given
Routing function not inferred. wrongly infer out_edge_selection as  [0.8, 0.2]",,0,7,6,3,0,1,0,2,0,2,0,1,0,3,0,0,0,1,https://github.com/InferaFactorySim/FactoryFlow/blob/main/docs/error-characterization/generated_models/S23/factory_model_23_Coarse.py,https://github.com/InferaFactorySim/FactoryFlow/blob/main/docs/error-characterization/generated_models/S23/factory_model_23_Coarse_A.py,https://github.com/InferaFactorySim/FactoryFlow/blob/main/docs/error-characterization/generated_models/S23/factory_model_23_Coarse_A_D.py,https://github.com/InferaFactorySim/FactoryFlow/blob/main/docs/error-characterization/generated_models/S23/factory_model_23_Detailed.py,https://github.com/InferaFactorySim/FactoryFlow/blob/main/docs/error-characterization/generated_models/S23/factory_model_23_Detailed_D.py,https://github.com/InferaFactorySim/FactoryFlow/blob/main/docs/error-characterization/groundtruth_models/S23_GT.py,https://github.com/InferaFactorySim/FactoryFlow/blob/main/docs/error-characterization/Diagrams/S23_GT.png,23
S24,Large_Grid,"There is a mesh of 10X10 machines with the source at top left and sink at bottom right. The edges flow right and down. There is no machine at 5th row and 4th column, and from 3rd to 6th column in 7th row. This means the edges directly connect to the next element skipping the absent machines.","There is a mesh of 10X10 machines with a common source and a common sink. The edges flow right and down. There is no machine at 5th row and 4th column, and from 3rd to 6th column in 7th row. This means the edges directly connect to the next element skipping the absent machines horizontally. Vertically if there is no machine skip that connection. The source having delay of 1. Machine IDs are M[1][1], M[1][2],... and buffer IDs are B_11_12,B_11_21, .. Let all machines have processing_delay of 2.353 and a work_capacity of 1. let all buffers be of capacity=3.All machines with multiple input edges will gave a work_capacity of 3.","#Nodes=97
#Edges=198
#Parameters=380",,27.239,58.377,81.52,93.5,86.87,97.3,,"naming errors, used default parameters

connections- src connects to M11--that connects to M12 and M21 nd so on.

no hierarchy

created src and sink but did not connect to machines. did not infer that B_Src_11 should be created to connect src to m[1][1]","R1:connections- src connects to M11--that connects to M12 and M21 nd so on.

",,46,36,0,0,0,0,18,18,18,18,0,0,10,0,0,0,0,0,https://github.com/InferaFactorySim/FactoryFlow/blob/main/docs/error-characterization/generated_models/S24/factory_model_24_Coarse.py,https://github.com/InferaFactorySim/FactoryFlow/blob/main/docs/error-characterization/generated_models/S24/factory_model_24_Coarse_A.py,https://github.com/InferaFactorySim/FactoryFlow/blob/main/docs/error-characterization/generated_models/S24/factory_model_24_Coarse_A_D.py,https://github.com/InferaFactorySim/FactoryFlow/blob/main/docs/error-characterization/generated_models/S24/factory_model_24_Detailed.py,https://github.com/InferaFactorySim/FactoryFlow/blob/main/docs/error-characterization/generated_models/S24/factory_model_24_Detailed_D.py,https://github.com/InferaFactorySim/FactoryFlow/blob/main/docs/error-characterization/groundtruth_models/S24_GT.py,https://github.com/InferaFactorySim/FactoryFlow/blob/main/docs/error-characterization/Diagrams/S24_GT.png,24
S25,Nested_loops,A system with 4 machines in series.An output of M2 output goes back to M1. An output of M4 output goes back to M1. .,"SRC -> M1 -> M2 -> M3 -> M4 -> SINK. Inner Loop: 30% of M2 output goes back to M1. Outer Loop: 10% of M4 output goes back to M1. All machines delay 2, all buffers capacity 2. Name buffer IDs as B_srcnodeID_destinationnodeID","#Nodes=6
#Edges=7
#Parameters=11",,18.87,44.86,84.55,76.52,22.13,79.45,100.36,"naming error.
structure correctly inferred. 
routing function not generated","routing function is wrong, deadlock, ",,0,2,0,0,0,2,0,0,0,0,2,2,0,0,0,0,0,2,https://github.com/InferaFactorySim/FactoryFlow/blob/main/docs/error-characterization/generated_models/S25/factory_model_25_Coarse.py,https://github.com/InferaFactorySim/FactoryFlow/blob/main/docs/error-characterization/generated_models/S25/factory_model_25_Coarse_A.py,https://github.com/InferaFactorySim/FactoryFlow/blob/main/docs/error-characterization/generated_models/S25/factory_model_25_Coarse_A_D.py,https://github.com/InferaFactorySim/FactoryFlow/blob/main/docs/error-characterization/generated_models/S25/factory_model_25_Detailed.py,https://github.com/InferaFactorySim/FactoryFlow/blob/main/docs/error-characterization/generated_models/S25/factory_model_25_Detailed_D.py,https://github.com/InferaFactorySim/FactoryFlow/blob/main/docs/error-characterization/groundtruth_models/S25_GT.py,https://github.com/InferaFactorySim/FactoryFlow/blob/main/docs/error-characterization/Diagrams/S25_GT.png,25
S26,Hierarchical_Irregular_Cross_Connect,Two subsystems where a machine inside Subsystem A connects directly to a specific machine deep inside Subsystem B.,Subsystem_A (3 machines in series) and Subsystem_B (3 machines in series). A custom edge connects Subsystem_A.M2 to Subsystem_B.M3.,"#Nodes=10
#Edges=9
#Parameters=0",,34.22,56.16,66.2,70.1,24.23,66.47,,"inferred number of machines wrongly3 and 5

src-m1-m2-m3 and m1-m2-m3-sink; m2 in A to m3 in B. src in only one row and sink in the other row",src-m1-m2-m3 and m1-m2-m3-sink; m2 in A to m3 in B. src in only one row and sink in the other row,,4,4,0,1,0,0,2,2,2,2,0,0,0,0,0,0,1,1,https://github.com/InferaFactorySim/FactoryFlow/blob/main/docs/error-characterization/generated_models/S26/factory_model_26_Coarse.py,https://github.com/InferaFactorySim/FactoryFlow/blob/main/docs/error-characterization/generated_models/S26/factory_model_26_Coarse_A.py,https://github.com/InferaFactorySim/FactoryFlow/blob/main/docs/error-characterization/generated_models/S26/factory_model_26_Coarse_A_D.py,https://github.com/InferaFactorySim/FactoryFlow/blob/main/docs/error-characterization/generated_models/S26/factory_model_26_Detailed.py,https://github.com/InferaFactorySim/FactoryFlow/blob/main/docs/error-characterization/generated_models/S26/factory_model_26_Detailed_D.py,https://github.com/InferaFactorySim/FactoryFlow/blob/main/docs/error-characterization/groundtruth_models/S26_GT.py,https://github.com/InferaFactorySim/FactoryFlow/blob/main/docs/error-characterization/Diagrams/S26_GT.png,26
S27,Multiedge_Feedback_Loop,A series with 2 machines. There is a feedback loop that uses multiple parallel buffers for the return path from M2 to M1.,"M1 feeds M2. M2 feeds SINK. A return path exists from M2 back to M1, but it consists of 3 parallel buffers (B_ret1, B_ret2, B_ret3). M2 uses ""ROUND_ROBIN"" to distribute the feedback items across these 3 buffers. Let Source ID be ""SRC"". If buffer IDs are not available name them as B_srcnodeID_destnodeID","#Nodes=4
#Edges=6
#Parameters=1",,22.49,37.005,52.94,49.57,25.18,39.49,,"There is a feedback loop that uses multiple parallel buffers- number of buffers not specified

number of buffers inferred as 2 because the word ""multiple"" was used.


",,,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,https://github.com/InferaFactorySim/FactoryFlow/blob/main/docs/error-characterization/generated_models/S27/factory_model_27_Coarse.py,https://github.com/InferaFactorySim/FactoryFlow/blob/main/docs/error-characterization/generated_models/S27/factory_model_27_Coarse_A.py,https://github.com/InferaFactorySim/FactoryFlow/blob/main/docs/error-characterization/generated_models/S27/factory_model_27_Coarse_A_D.py,https://github.com/InferaFactorySim/FactoryFlow/blob/main/docs/error-characterization/generated_models/S27/factory_model_27_Detailed.py,,https://github.com/InferaFactorySim/FactoryFlow/blob/main/docs/error-characterization/groundtruth_models/S27_GT.py,https://github.com/InferaFactorySim/FactoryFlow/blob/main/docs/error-characterization/Diagrams/S27_GT.png,27
S28,Repeated_Heterogeneous_Hierarchical_Subsystems,"A system composed of a repeated hierarchical subsystem, where each subsystem contains two machines in series connected by a buffer.  Three such subsystems are connected sequentially, forming a linear hierarchical structure with a single source and a single sink. The subsystems are heterogeneous.","A hierarchical subsystem Cell_X consists of two machines in series with a buffer in between. Three instances of Cell_X are connected in series:

Cell_X_1 has delays (2.0, 2.0)
Cell_X_2 has delays (2.5, 2.0)
Cell_X_3 has delays (3.0, 2.5)
Name machines as M1,M2,.. and buffers as B1,B2,..
All buffers have capacity 2.Single Source(2.1) and Sink.","#Nodes=8
#Edges=7
#Parameters=14",,18.55,52.02,39.71,54.43,26.29,45.21,60.65,structure is infrred. node names and edge names followed the paettern in examples,buffer ID as edge[0],,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://github.com/InferaFactorySim/FactoryFlow/blob/main/docs/error-characterization/generated_models/S28/factory_model_28_Coarse.py,https://github.com/InferaFactorySim/FactoryFlow/blob/main/docs/error-characterization/generated_models/S28/factory_model_28_Coarse_A.py,https://github.com/InferaFactorySim/FactoryFlow/blob/main/docs/error-characterization/generated_models/S28/factory_model_28_Coarse_A_D.py,https://github.com/InferaFactorySim/FactoryFlow/blob/main/docs/error-characterization/generated_models/S28/factory_model_28_Detailed.py,https://github.com/InferaFactorySim/FactoryFlow/blob/main/docs/error-characterization/generated_models/S28/factory_model_28_Detailed_D.py,https://github.com/InferaFactorySim/FactoryFlow/blob/main/docs/error-characterization/groundtruth_models/S28_GT.py,https://github.com/InferaFactorySim/FactoryFlow/blob/main/docs/error-characterization/Diagrams/S28_GT.png,28
S29, Nested_Hierarchy,"A hierarchical system where a  subystem inside a top-level cell contains a machine Machine_T1, a nested hierarchical subsystem with parallel machines  and a single machine in series(M1,M2, M3), and a final machine , Machine_T2 arranged in series between a source and a sink.","Source ""SRC"" feeds Cell_Top, which contains- Machine_T1, a Subsystem Cell_Sub, which itself contains two parallel machines(M1, M2) feeding a machine and finally a Machine_T2.Buffer IDs are all B1, B2,.. (capacity=2) connect all elements. Final output goes to """"SINK"""". All machines are with delay 3.3 ","#Nodes=7
#Edges=7
#Parameters=18",,35.93,51.85,79.67,,28.6,79.2919,,inferred 3 as the number of parallel machines. ,"1.Cell_Top is not inferred correctly.
2.Buffer ID order-- B1, B2, sequentially based on the order of connectin flow.
It has to start from B1, B2, ... in every class. change should be made in assumptions and description. 

Names are wrong because of the order in which it is created is wrong.
3.Difficult to infer nested hierarchy",,1,0,0,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,https://github.com/InferaFactorySim/FactoryFlow/blob/main/docs/error-characterization/generated_models/S29/factory_model_29_Coarse.py,https://github.com/InferaFactorySim/FactoryFlow/blob/main/docs/error-characterization/generated_models/S29/factory_model_29_Coarse_A.py,https://github.com/InferaFactorySim/FactoryFlow/blob/main/docs/error-characterization/generated_models/S29/factory_model_29_Coarse_A_D.py,https://github.com/InferaFactorySim/FactoryFlow/blob/main/docs/error-characterization/generated_models/S29/factory_model_29_Detailed.py,,https://github.com/InferaFactorySim/FactoryFlow/blob/main/docs/error-characterization/groundtruth_models/S29_GT.py,https://github.com/InferaFactorySim/FactoryFlow/blob/main/docs/error-characterization/Diagrams/S29_GT.png,29
S30,Hierarchy_repeated,"A production line has 4 machines in series and a subsystem . The subsystem consists of 3 machines(M1,M2,M3) in series. In the production line the subsystem is repeated 3 times between the 2nd machine and the 4th machine. All machines have processing delay of 3.","A production line has 4 machines ID=Main_M[i],where i=0,1,2,.. in series and a subsystem . The subsystem consists of 3 machines(M1,M2,M3) in series. In the production line the subsystem is repeated 3 times between the 2nd machine and the 4th machine. All machines have processing delay of 3. All buffers have ID=Bi , i =1,2,3,..","#Nodes=15
#Edges=17
#Parameters=13",,36.84,64.42,67.1857,91.24,36.6,79.34,,"7. Assumed the 3rd machine of the main line (`Main_M[2]`) is bypassed or replaced by the subsystems, as the connection is explicitly stated to be ""between the 2nd machine and the 4th machine"".
","Main_M[2] is assumed to be excluded from the flow path, as the subsystems are inserted between the 2nd (Main_M[1]) and 4th (Main_M[3]) machines. created M[2]. but not connected


Assumed ""Round_robin"" at main_M[1] out_edge_policy

Naming error due to the order in which it is created",,6,3,0,3,0,0,3,3,3,0,1,1,0,0,0,0,0,3,https://github.com/InferaFactorySim/FactoryFlow/blob/main/docs/error-characterization/generated_models/S30/factory_model_30_Coarse.py,https://github.com/InferaFactorySim/FactoryFlow/blob/main/docs/error-characterization/generated_models/S30/factory_model_30_Coarse_A.py,https://github.com/InferaFactorySim/FactoryFlow/blob/main/docs/error-characterization/generated_models/S30/factory_model_30_Coarse_A_D.py,https://github.com/InferaFactorySim/FactoryFlow/blob/main/docs/error-characterization/generated_models/S30/factory_model_30_Detailed_wrong.py,https://github.com/InferaFactorySim/FactoryFlow/blob/main/docs/error-characterization/generated_models/S30/factory_model_30_Detailed_D.py,https://github.com/InferaFactorySim/FactoryFlow/blob/main/docs/error-characterization/groundtruth_models/S30_GT.py,https://github.com/InferaFactorySim/FactoryFlow/blob/main/docs/error-characterization/Diagrams/S30_GT.png,30
S31,VeryLarge-I,"The system consists of ten independent production lines arranged in parallel. Each production line contains ten machines connected in strict series, with a single source at the beginning and a single sink at the end. Source and sink are common for all lines. However, between the 5th machine and the 6th machine in every row, there are four parallel buffers instead of one.","10 machines are connected in series. Use'src' as id  for source and 'sink' as id  for sink. Name machines  M00,M01,..M09 5th machine has work_capacity=3, others all work_capacity=1.  Between 5th(M04) and 6th(M05) machine there are four buffers.All buffers have store capacity=2, except the buffer between 5th and 6th machines. Those have a store capacity=4. named B_04_05_1,B_04_05_2,.. B04_05_4   Other buffers as B_src_00, B_01_02,B_02_03,..B_09_sink.
There are ten such series. Machine in row 1 will be M00,M01,..M09 Machines in second row will be M10,M11,...M29.  in 3rd row M20, M21,..  Machines in last row will be named M90,M91,..M99 and Buffers as B_src_90, B_91_92,B_92_3,..B_99_sink   B_24_25_1,B_24_25_2,.. are between M24 and M25. In all rows there are 4 buffers between 5th machine and 6th Machine as explained above. That is  B_14_15_1,B_14_15_2,B_14_15_3,B_14_15_4 are between M14 and M15. buffers between 5th and 6th machine as named B_94_95_1,B_94_95_2,B_94_95_3,B_94_95_4 B_94_95_4 are between src_node- M94 and dest_node-M95. ","#Nodes=102
#Edges=140
#Parameters=240",,21.53,49.2665,72.73,,27.14,51.79,,Assumed that default value of Roundrobin iwill be used and has not passed it.,"no hierarchy, round_robin for out_edge_selection. multiedge buffers are wrongly named",,0,10,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,https://github.com/InferaFactorySim/FactoryFlow/blob/main/docs/error-characterization/generated_models/S31/factory_model_31_Coarse.py,https://github.com/InferaFactorySim/FactoryFlow/blob/main/docs/error-characterization/generated_models/S31/factory_model_31_Coarse_A.py,,https://github.com/InferaFactorySim/FactoryFlow/blob/main/docs/error-characterization/generated_models/S31/factory_model_31_Detailed.py,,https://github.com/InferaFactorySim/FactoryFlow/blob/main/docs/error-characterization/groundtruth_models/S31_GT.py,https://github.com/InferaFactorySim/FactoryFlow/blob/main/docs/error-characterization/Diagrams/S31_GT.png,31
S32,VeryLarge-II,"Eight machines are connected in series with src as source and sink as sink. Machines are named M00 to M07. Buffers are B_src_00, B_00_01, …, B_07_sink.
Eight such series form one 8×8 system . Two identical 8×8 systems are present.
The 5th machines of corresponding rows in both systems are interconnected using cross buffers named B_x_04, B_x_14, and so on","8 machines are connected in series. Use'src' as id  for source and 'sink' as id  for sink. Name machines  M00,M01,..M07 ,   Buffers ID are B_src_00, B_01_02,B_02_03,..B_07_sink.
There are 8 such series. 2 such complete 8*8 systems are present in the system model. there are cross buffers bet M04 in 8*8_sys_1 to M04 in 8*8_sys_2. Similarly all 5th machines are inter connected between these systems B ID would be B_x_04, B_x_14, and so on ","#Nodes=132
#Edges=136
#Parameters=0",,33.79,77.46,,,41.14,74.66,,Roundrobin for out_edge_selection of interconnected machines,Assumed that default value of Roundrobin iwill be used and has not passed it.,,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,https://github.com/InferaFactorySim/FactoryFlow/blob/main/docs/error-characterization/generated_models/S32/factory_model_32_Coarse.py,,,https://github.com/InferaFactorySim/FactoryFlow/blob/main/docs/error-characterization/generated_models/S32/factory_model_32_Detailed.py,,https://github.com/InferaFactorySim/FactoryFlow/blob/main/docs/error-characterization/groundtruth_models/S32_GT.py,https://github.com/InferaFactorySim/FactoryFlow/blob/main/docs/error-characterization/Diagrams/S32_GT.png,32
S33,VeryLarge-III,"5 machines, a source and sink are in series and 5 such series forms a subsystem with ID= 5*5_sys_i  and it is repeated 4 times.  The machine in the 2nd row and 3rd column of all the subsystems are interconnected.","5 machines are connected in series. Use'src' as id  for source and 'sink' as id  for sink. Name machines  M00,M01,.. ,   Buffers ID are B_src_00, B_01_02,B_02_03,.
There are 5 such series. 4 such complete 5*5 systems are present in the system model. there are cross buffers between  M23 of all 5*5_sys_i are interconnected using buffers i=1,2,3,4.  Buffer used for crossconnection will have ID  B_x_1, B_x_2, and so on 
","#Nodes=108
#Edges=152
#Parameters=0",,26.48,47.79,74.94,,66.07,70.54,59.78,Roundrobin for out_edge_selection of interconnected machines,B_x_4 is created and hallucinated a sink and a flow from all M23 to the new hallucinated sink,,0,2,0,0,4,0,0,1,0,1,0,0,0,0,0,0,0,0,https://github.com/InferaFactorySim/FactoryFlow/blob/main/docs/error-characterization/generated_models/S33/factory_model_33_Coarse.py,https://github.com/InferaFactorySim/FactoryFlow/blob/main/docs/error-characterization/generated_models/S33/factory_model_33_Coarse_A.py,,https://github.com/InferaFactorySim/FactoryFlow/blob/main/docs/error-characterization/generated_models/S33/factory_model_33_Detailed.py,https://github.com/InferaFactorySim/FactoryFlow/blob/main/docs/error-characterization/generated_models/S33/factory_model_33_Detaialed_A.py,https://github.com/InferaFactorySim/FactoryFlow/blob/main/docs/error-characterization/groundtruth_models/S33_GT.py,https://github.com/InferaFactorySim/FactoryFlow/blob/main/docs/error-characterization/Diagrams/S33_GT.png,33
S34,VeryLarge-IV,A series of 100 machines ,"A series of 100 machine with ID= M[i], i=0,.. and buffer IDs are B[i] i=0,..","#Nodes=102
#Edges=103
#Parameters=0",,24.74,23.7554,,,35.6632,49.31,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://github.com/InferaFactorySim/FactoryFlow/blob/main/docs/error-characterization/generated_models/S34/factory_model_34_Coarse.py,,,https://github.com/InferaFactorySim/FactoryFlow/blob/main/docs/error-characterization/generated_models/S34/factory_model_34_Detailed.py,,https://github.com/InferaFactorySim/FactoryFlow/blob/main/docs/error-characterization/groundtruth_models/S34_GT.py,https://github.com/InferaFactorySim/FactoryFlow/blob/main/docs/error-characterization/Diagrams/S34_GT.png,34
S35,VeryLarge-V,A systemA with  machine that splits into 10 machines  and the output from these machines ends in another a machine. There are 5 such systems that are connected in series .  There is another systemB with 10 machines in series and there are 5 such systems. the last machine in systemA is connected to the first machines in each row in systemB,"A systemA with  machine (Mp_in)  that splits into 10 machines  and the output from these machines ends in another a machine  (Mp_out) . There are 5 such systems that are connected in series .  There is another systemB with 10 machines in series and there are 5 such systems. the last machine in systemA is connected to the first machines in each row in systemB. Machines in parallel systems will have ID Mp[i] where i =0,..  and Buffers in parallel will have ID Bp[i] where i=0,...  Machines in series system will have ID M[i][j] i,j=0,.. and buffers in series will have id B_src_dest where src is the position of src machine and dest is the position of destination machine. All other buffers are named with ID Bi where i=1,2,3..","#Nodes=112
#Edges=165
#Parameters=0",,21.5168,61.52,,,27.01,80.38,,Roundrobin for out_edge_selection of interconnected machines. ,Roundrobin for out_edge_selection of interconnected machines. ,,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,https://github.com/InferaFactorySim/FactoryFlow/blob/main/docs/error-characterization/generated_models/S35/factory_model_35_Coarse.py,https://github.com/InferaFactorySim/FactoryFlow/blob/main/docs/error-characterization/generated_models/S35/factory_model_35_Coarse_A.py,,https://github.com/InferaFactorySim/FactoryFlow/blob/main/docs/error-characterization/generated_models/S35/factory_model_35_Detailed.py,,https://github.com/InferaFactorySim/FactoryFlow/blob/main/docs/error-characterization/groundtruth_models/S35_GT.py,https://github.com/InferaFactorySim/FactoryFlow/blob/main/docs/error-characterization/Diagrams/S35_GT.png,35